df_index,open    ,high    ,close   ,low     ,volume     ,price_change,p_change,ma5      ,ma10     ,ma20     ,v_ma5       ,v_ma10      ,v_ma20      ,macd               ,dea                 ,hist                ,date      ,value
0       ,11266.32,11328.77,11326.27,11260.46,261773248.0,131.36      ,1.17    ,11326.27 ,11326.27 ,11326.27 ,261773248.0 ,261773248.0 ,261773248.0 ,                   ,                    ,                    ,2018-03-12,11326.27
1       ,11311.04,11335.3 ,11241.41,11236.38,227848416.0,-84.86      ,-0.75   ,11283.84 ,11283.84 ,11283.84 ,244810832.0 ,244810832.0 ,244810832.0 ,                   ,                    ,                    ,2018-03-13,11326.27
2       ,11198.77,11242.3 ,11139.63,11138.39,196067744.0,-101.78     ,-0.91   ,11235.77 ,11235.77 ,11235.77 ,228563136.0 ,228563136.0 ,228563136.0 ,                   ,                    ,                    ,2018-03-14,11326.27
3       ,11100.53,11195.94,11163.65,11051.62,187573552.0,24.02       ,0.22    ,11217.74 ,11217.74 ,11217.74 ,218315740.0 ,218315740.0 ,218315740.0 ,                   ,                    ,                    ,2018-03-15,11326.27
4       ,11166.43,11192.36,11051.12,11051.12,169598352.0,-112.53     ,-1.01   ,11184.416,11184.416,11184.416,208572262.4 ,208572262.4 ,208572262.4 ,                   ,                    ,                    ,2018-03-16,11326.27
5       ,11046.03,11120.75,11068.49,10994.68,165819440.0,17.37       ,0.16    ,11132.86 ,11165.095,11165.095,189381500.8 ,201446792.0 ,201446792.0 ,                   ,                    ,                    ,2018-03-19,11326.27
6       ,10982.73,11082.03,11077.8 ,10951.99,177360080.0,9.31        ,0.08    ,11100.138,11152.624,11152.624,179283833.6 ,198005833.14,198005833.14,                   ,                    ,                    ,2018-03-20,11326.27
7       ,11100.91,11170.56,10980.55,10973.58,202472464.0,-97.25      ,-0.88   ,11068.322,11131.115,11131.115,180564777.6 ,198564162.0 ,198564162.0 ,                   ,                    ,                    ,2018-03-21,11326.27
8       ,10988.83,11035.58,10877.25,10858.44,175778160.0,-103.3      ,-0.94   ,11011.042,11102.908,11102.908,178205699.2 ,196032384.0 ,196032384.0 ,                   ,                    ,                    ,2018-03-22,11326.27
9       ,10511.16,10664.93,10439.99,10256.5 ,282412832.0,-437.26     ,-4.02   ,10888.816,11036.616,11036.616,200768595.2 ,204670428.8 ,204670428.8 ,                   ,                    ,                    ,2018-03-23,11326.27
10      ,10303.75,10564.38,10564.38,10217.22,195798896.0,124.39      ,1.19    ,10787.994,10960.427,10993.685,206764486.4 ,198072993.6 ,203863925.82,                   ,                    ,                    ,2018-03-26,11326.27
11      ,10683.16,10799.37,10775.71,10675.5 ,222882752.0,211.33      ,2.0     ,10727.576,10913.857,10975.521,215869020.8 ,197576427.2 ,205448828.0 ,                   ,                    ,                    ,2018-03-27,11326.27
12      ,10633.7 ,10768.48,10630.69,10613.06,204801312.0,-145.02     ,-1.35   ,10657.604,10862.963,10948.995,216334790.4 ,198449784.0 ,205399019.08,                   ,                    ,                    ,2018-03-28,11326.27
13      ,10676.56,10778.8 ,10755.92,10564.29,192574656.0,125.23      ,1.18    ,10633.338,10822.19 ,10935.204,219694089.6 ,198949894.4 ,204482993.14,                   ,                    ,                    ,2018-03-29,11326.27
14      ,10776.71,10883.05,10868.65,10766.53,209103152.0,112.73      ,1.05    ,10719.07 ,10803.943,10930.767,205032153.6 ,202900374.4 ,204791003.73,                   ,                    ,                    ,2018-03-30,11326.27
15      ,10887.47,10950.22,10852.95,10835.71,238742944.0,-15.7       ,-0.14   ,10776.784,10782.389,10925.904,213620963.2 ,210192724.8 ,206913000.0 ,                   ,                    ,                    ,2018-04-02,11326.27
16      ,10718.43,10783.93,10754.29,10667.33,208204048.0,-98.66      ,-0.91   ,10772.5  ,10750.038,10915.809,210685222.4 ,213277121.6 ,206988944.0 ,                   ,                    ,                    ,2018-04-03,11326.27
17      ,10778.86,10829.82,10684.56,10678.94,193163728.0,-69.73      ,-0.65   ,10783.274,10720.439,10902.962,208357705.6 ,212346248.0 ,206220876.44,                   ,                    ,                    ,2018-04-04,11326.27
18      ,10655.07,10725.11,10653.38,10571.16,185794688.0,-31.18      ,-0.29   ,10762.766,10698.052,10889.826,207001712.0 ,213347900.8 ,205145813.89,                   ,                    ,                    ,2018-04-09,11326.27
19      ,10671.69,10765.62,10765.62,10628.24,199741600.0,112.24      ,1.05    ,10742.16 ,10730.615,10883.616,205129401.6 ,205080777.6 ,204875603.2 ,                   ,                    ,                    ,2018-04-10,11326.27
20      ,10796.5 ,10856.44,10808.37,10786.84,191004368.0,42.75       ,0.4     ,10733.244,10755.014,10857.721,195581686.4 ,204601324.8 ,201337159.2 ,                   ,                    ,                    ,2018-04-11,11326.27
21      ,10797.35,10825.66,10726.95,10720.83,171686896.0,-81.42      ,-0.75   ,10727.776,10750.138,10831.998,188278256.0 ,199481739.2 ,198529083.2 ,                   ,                    ,                    ,2018-04-12,11326.27
22      ,10789.77,10825.67,10687.02,10670.65,161837312.0,-39.93      ,-0.37   ,10728.268,10755.771,10809.367,182012972.8 ,195185339.2 ,196817561.6 ,                   ,                    ,                    ,2018-04-13,11326.27
23      ,10660.69,10704.39,10621.79,10540.69,188159472.0,-65.23      ,-0.61   ,10721.95 ,10742.358,10782.274,182485929.6 ,194743820.8 ,196846857.6 ,                   ,                    ,                    ,2018-04-16,11326.27
24      ,10636.88,10669.15,10395.16,10390.05,202286400.0,-226.63     ,-2.13   ,10647.858,10695.009,10749.476,182994889.6 ,194062145.6 ,198481260.0 ,                   ,                    ,                    ,2018-04-17,11326.27
25      ,10477.52,10514.74,10491.15,10249.87,215834944.0,95.99       ,0.92    ,10584.414,10658.829,10720.609,187961004.8 ,191771345.6 ,200982035.2 ,                   ,                    ,                    ,2018-04-18,11326.27
26      ,10502.36,10646.7 ,10598.35,10485.41,203988576.0,107.2       ,1.02    ,10558.694,10643.235,10696.637,194421340.8 ,191349798.4 ,202313460.0 ,                   ,                    ,                    ,2018-04-19,11326.27
27      ,10571.99,10619.17,10408.91,10392.69,196805696.0,-189.44     ,-1.79   ,10503.072,10615.67 ,10668.055,201415017.6 ,191713995.2 ,202030121.6 ,                   ,                    ,                    ,2018-04-20,11326.27
28      ,10416.78,10471.21,10330.63,10228.09,179579808.0,-78.28      ,-0.75   ,10444.84 ,10583.395,10640.724,199699084.8 ,191092507.2 ,202220204.0 ,                   ,                    ,                    ,2018-04-23,11326.27
29      ,10325.51,10556.82,10556.82,10325.51,190970000.0,226.19      ,2.19    ,10477.172,10562.515,10646.565,197435804.8 ,190215347.2 ,197648062.4 ,                   ,                    ,                    ,2018-04-24,11326.27
30      ,10503.94,10579.18,10547.1 ,10488.87,183348352.0,-9.72       ,-0.09   ,10488.362,10536.388,10645.701,190938486.4 ,189449745.6 ,197025535.2 ,                   ,                    ,                    ,2018-04-25,11326.27
31      ,10495.03,10508.01,10292.12,10290.37,186332448.0,-254.98     ,-2.42   ,10427.116,10492.905,10621.522,187407260.8 ,190914300.8 ,195198020.0 ,                   ,                    ,                    ,2018-04-26,11326.27
